GID,Last, First,First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,YH Sal,YH Change,FD pos,DK pos,YH pos,ADI,VMI
5679,Eubanks, Drew,Drew Eubanks,20210322,sas,cha,H,20210322-cha-sas,20.5,97,100,0,1.833333333,1,1,0,0.5,0.25,0,1pt 1to 1-2ft,0,0,3500,0,3600,0,10,0,5,5,5,62.37,1.81
5679,Eubanks, Drew,Drew Eubanks,20210320,sas,mil,A,20210320-sas-mil,21,113,120,0,17.36666667,1,1,16.6,16.25,16.75,16.6,7pt 3rb 2as 1bl 1trey 3-3fg,0,0,3500,0,3600,200,10,0,5,5,5,66.07,-1.27
5679,Eubanks, Drew,Drew Eubanks,20210319,sas,cle,A,20210319-sas-cle,19.5,116,110,0,11.85,1,1,5.7,6.25,5.75,5.7,4pt 1rb 1as 1to 2-4fg,0,0,3500,0,3400,300,10,-1,5,5,5,66.11,-1.72
5679,Eubanks, Drew,Drew Eubanks,20210317,sas,chi,A,20210317-sas-chi,20,106,99,0,13.93333333,1,1,16.6,14.75,14.5,16.6,7pt 3rb 2bl 2-2fg 3-4ft,0,0,3500,0,3100,100,11,1,5,5,5,63.51,1.76
5679,Eubanks, Drew,Drew Eubanks,20210315,sas,det,A,20210315-sas-det,20,109,99,0,22.1,1,1,17,19.25,18.5,17,8pt 5rb 4as 1bl 6to 4-7fg,0,0,3500,0,3000,0,10,0,5,5,5,65.02,0.16
5679,Eubanks, Drew,Drew Eubanks,20210314,sas,phi,A,20210314-sas-phi,18.5,99,134,0,23.51666667,1,1,39.8,37.25,35.75,39.8,17pt 9rb 2as 1st 2bl 6-10fg 5-7ft,0,0,3500,0,,,,,5,,,66.75,-2.67
5679,Eubanks, Drew,Drew Eubanks,20210312,sas,orl,H,20210312-orl-sas,22,104,77,0,18.95,1,1,23,20.25,19.25,23,5pt 5rb 2as 1st 2bl 2-6fg 1-1ft,0,0,3500,0,3000,0,10,0,5,5,5,64.33,-0.25
5679,Eubanks, Drew,Drew Eubanks,20210310,sas,dal,A,20210310-sas-dal,21.5,104,115,0,3.833333333,1,1,4.2,3.25,3.25,4.2,0pt 1rb 1bl,0,0,3500,0,3000,0,10,0,5,5,5,63.83,0.53
5679,Eubanks, Drew,Drew Eubanks,20210304,sas,okc,H,20210304-okc-sas,22,102,107,0,12.31666667,1,1,10.3,11,10.75,10.3,2pt 4rb 3as 1to 1-2fg,0,0,3500,-100,3000,0,10,0,5,5,5,63.97,0.39
5679,Eubanks, Drew,Drew Eubanks,20210302,sas,nyk,H,20210302-nyk-sas,21.5,119,93,0,18.18333333,1,1,13.9,13.5,12.25,13.9,8pt 2rb 1as 1bl 1to 3-6fg 2-4ft,0,0,3600,0,3000,0,10,0,5,5,5,64.83,-0.22
5679,Eubanks, Drew,Drew Eubanks,20210301,sas,bkn,H,20210301-bkn-sas,21.5,113,124,0,1.433333333,1,1,1.2,1.25,0.75,1.2,0pt 1rb 0-2fg,0,0,3600,0,3000,0,10,0,5,5,5,65.2,-0.99
5679,Eubanks, Drew,Drew Eubanks,20210227,sas,nor,H,20210227-nor-sas,21,117,114,0,0,0,1,0,0,0,0,,0,0,3600,0,3000,0,10,0,5,5,5,63.15,0.42
5679,Eubanks, Drew,Drew Eubanks,20210224,sas,okc,A,20210224-sas-okc,21,99,102,0,9.15,1,1,4.9,5.5,4.75,4.9,2pt 2rb 1as 1to 1-4fg,0,0,3600,0,3000,-100,10,0,5,5,5,63.83,1.07
5679,Eubanks, Drew,Drew Eubanks,20210214,sas,cha,A,20210214-sas-cha,20,122,110,0,6.65,1,1,5.2,5.25,5.25,5.2,4pt 1rb 2-2fg,0,0,3600,0,3100,-200,10,0,5,5,5,64.52,-0.9
5679,Eubanks, Drew,Drew Eubanks,20210212,sas,atl,A,20210212-sas-atl,20.5,125,114,0,19.73333333,1,1,14.4,14.75,14.25,14.4,5pt 7rb 1bl 2to 1-2fg 3-4ft,0,0,3600,-100,3300,-200,10,0,5,5,5,62.83,1.35
5679,Eubanks, Drew,Drew Eubanks,20210209,sas,gsw,H,20210209-gsw-sas,21.5,91,114,0,9.8,1,1,13.5,12.75,12.25,13.5,3pt 5rb 1as 1bl 1-2fg 1-2ft,0,0,3700,0,3500,0,10,0,5,5,5,64.42,-0.24
5679,Eubanks, Drew,Drew Eubanks,20210208,sas,gsw,H,20210208-gsw-sas,21.5,105,100,0,10.3,1,1,11.9,10,9,11.9,2pt 2rb 1as 2bl 1-5fg,0,0,3700,200,3500,300,10,0,5,5,5,63.6,0.56
5679,Eubanks, Drew,Drew Eubanks,20210206,sas,hou,A,20210206-sas-hou,21,111,106,0,16.2,1,1,25.1,22.75,22.25,25.1,12pt 3rb 1as 3bl 1to 4-6fg 4-4ft,0,0,3500,0,3200,200,10,0,5,5,5,65.29,-1.21
