player_id,team,opp,pos,name,salary,fpts,proj_own,smash,psmash,minutes,ceil,floor,rg_value,
31812,DEN,PHI,C,Nikola Jokic,10.5,55.56,23.3,29,5.70,36,71.12,38.34,6.06,11.76
1115368,WAS,CHA,PF/C,Rui Hachimura,6,36.25,35.5,38,2.50,36,49.66,17.76,4.75,7.25
1501,PHI,DEN,C,Dwight Howard,5.8,29.77,20.9,29,8.10,25,46.44,14.29,-0.93,7.17
13332,PHI,DEN,SF/PF,Tobias Harris,8.5,43.58,17.5,22,4.50,35,56.65,32.69,2.08,6.58
409154,DEN,PHI,SF/PF,Michael Porter Jr.,6.7,32.33,13.6,22,8.40,32,48.5,15.2,-1.97,6.43
37838,ORL,LAC,PF/C,Khem Birch,5.1,21.8,7.4,19,11.60,26,37.5,14.82,-6.1,5.50
408877,WAS,CHA,SF/PF,Chandler Hutchison,3,17.88,5.9,13,7.10,24,23.42,8.94,-1.62,5.48
35211,DEN,PHI,PG,Jamal Murray,7.6,36.71,13,19,6.00,36,51.03,24.23,-1.19,4.81
408968,CHA,WAS,PG/SG,Devonte' Graham,6.1,33.59,24.9,28,3.10,32,45.01,20.49,1.69,4.79
1083,WAS,CHA,PG,Russell Westbrook,10.9,59.6,36.9,33,-3.90,37,75.69,44.1,8.5,4.60
1239,CHA,WAS,SF/PF,Gordon Hayward,7.6,39.19,21.5,24,2.50,36,53.3,25.47,1.29,3.79
409063,ATL,PHO,PG,Trae Young,9,44.59,21.8,24,2.20,36,61.53,26.31,1.09,3.29
13310,LAC,ORL,SF,Kawhi Leonard,8.8,46.16,24.6,24,-0.60,36,58.62,35.08,3.46,2.86
2439346,WAS,CHA,SF/PF,Deni Avdija,3.7,23.45,30.6,32,1.40,32,34,10.79,1.15,2.55
18941,PHO,ATL,PG,Cameron Payne,3.4,17.1,4.7,10,5.30,18,24.8,7.87,-4,1.30
1245,LAC,ORL,SG,Paul George,8.6,43.14,19.1,19,-0.10,36,55.65,28.47,1.24,1.14
35226,LAC,ORL,C,Ivica Zubac,5.9,27.72,11.9,16,4.10,29,39.09,16.63,-3.38,0.72
1115314,CHA,WAS,PF/C,PJ Washington,6.8,32.21,13,16,3.00,32,45.74,20.29,-2.49,0.51
18610,ATL,PHO,C,Clint Capela,7.4,38.01,20.5,20,-0.50,30,49.79,22.81,0.91,0.41
18894,CHA,WAS,PG/SG,Terry Rozier,7.7,40.26,25.9,24,-1.90,36,53.14,25.36,1.96,0.06
1087,PHO,ATL,PG,Chris Paul,8,38.77,15.7,16,0.30,32,51.18,27.53,-0.73,-0.43
409301,PHO,ATL,C,Deandre Ayton,6.4,34.35,23.9,22,-1.90,32,45.69,24.05,1.25,-0.65
18601,DEN,PHI,SF/PF,Aaron Gordon,6.2,27.41,7.2,11,3.80,30,38.65,15.62,-4.89,-1.09
18949,PHO,ATL,SG,Devin Booker,8.3,40.35,15.4,14,-1.40,34,52.05,26.63,-0.35,-1.75
13312,CHA,WAS,C,Bismack Biyombo,3.2,16.64,14.1,16,1.90,21,25.46,8.32,-3.66,-1.76
16886,WAS,CHA,C,Alex Len,4,20.91,15.6,16,0.40,22,29.48,8.57,-2.59,-2.19
13942,PHO,ATL,PF,Jae Crowder,4.9,24.05,17.6,17,-0.60,30,34.63,12.75,-3.05,-3.65
940,PHI,DEN,SF,Danny Green,4.8,24.74,20,17,-3.00,32,33.89,13.36,-1.96,-4.96
37823,ATL,PHO,PF/C,John Collins,7,33.53,14.3,11,-3.30,32,44.59,19.45,-1.97,-5.27
16825,PHI,DEN,SG,Seth Curry,4.9,23.78,15.6,13,-2.60,30,33.05,11.41,-3.32,-5.92
13316,LAC,ORL,SF/PF,Marcus Morris Sr.,5.1,24.31,14.4,12,-2.40,31,33.79,14.1,-3.59,-5.99
16800,ORL,LAC,PG/SG,Michael Carter-Williams,5.8,26.78,13.5,11,-2.50,27,36.96,15.26,-3.92,-6.42
1115350,ORL,LAC,PF/C,Chuma Okeke,5.6,23.93,8.6,7,-1.60,30,34.7,11.01,-5.97,-7.57
35184,PHI,DEN,PG/SF,Ben Simmons,8.7,41.31,14.7,8,-6.70,35,51.64,28.09,-0.99,-7.69
1115315,CHA,WAS,SF,Cody Martin,3.6,19.36,22.4,17,-5.40,24,27.68,12,-2.54,-7.94
37848,DEN,PHI,SG/SF,PJ Dozier,3.6,13.37,3.5,3,-0.50,18,23.4,3.08,-8.53,-9.03
408842,PHO,ATL,SF,Mikal Bridges,5.8,25.63,11.1,7,-4.10,33,35.63,14.87,-5.07,-9.17
13352,LAC,ORL,PG/SG,Reggie Jackson,4.9,23.01,13.1,8,-5.10,28,31.75,12.66,-4.09,-9.19
13982,DEN,PHI,SG/SF,Will Barton,5.8,27.2,16.3,10,-6.30,34,36.45,15.5,-3.5,-9.80
409061,PHI,DEN,PG/SG,Shake Milton,4.7,20.74,11.4,7,-4.40,21,30.07,10.16,-5.56,-9.96
409263,WAS,CHA,SG/SF,Jerome Robinson,3,18.23,27.1,16,-11.10,24,24.25,9.12,-1.27,-12.37
409262,CHA,WAS,SF/PF,Miles Bridges,5.1,23.05,11.9,4,-7.90,28,31.58,12.91,-4.85,-12.75
